rank,token,token_utf8_bytes,aggregate_count,sample_standard_deviation,finite_sample_standard_deviation,positive_sample_standard_deviation
349,indietro,8,176,0.019327296627902064,true,true
350,niente,6,176,0.027885854395660461,true,true
351,silenzio,8,176,0.03236372182397719,true,true
352,sola,4,175,0.025497462431313851,true,true
353,fatti,5,174,0.017717330867898361,true,true
354,amore,5,173,0.038294188696496013,true,true
355,animo,5,173,0.016813381946049904,true,true
356,stessa,6,173,0.025925556421771731,true,true
357,fatta,5,172,0.012231190724470297,true,true
358,invece,6,172,0.059215195043264154,true,true
359,morto,5,172,0.041645107682206806,true,true
360,giacobbe,8,171,0.11999253625761971,true,true
361,giù,4,171,0.020904227620705977,true,true
362,voluto,6,171,0.011676326634800366,true,true
363,parve,5,170,0.022741223301978194,true,true
364,rodrigo,7,170,0.031203924815707891,true,true
365,eh,2,169,0.027850094092901911,true,true
366,veniva,6,168,0.017019001138905917,true,true
367,visto,5,168,0.017415911887018114,true,true
368,finalmente,10,167,0.017658113039964386,true,true
369,ragione,7,167,0.014632708340325186,true,true
370,sapeva,6,166,0.016625126247158274,true,true
371,tale,4,166,0.02216086470531644,true,true
372,anch,4,165,0.016019784408170073,true,true
373,vecchia,7,165,0.025468961908836341,true,true
374,persona,7,164,0.023681829372681845,true,true
375,pochi,5,164,0.015436826293901031,true,true
376,milano,6,163,0.027922485499110247,true,true
377,ancor,5,162,0.015896717093031563,true,true
378,bisogna,7,162,0.019716841032395589,true,true
379,braccio,7,162,0.011138893086606106,true,true
380,ebbe,4,162,0.030515432528707819,true,true
381,fondo,5,162,0.012360351067873662,true,true
382,accanto,7,161,0.029742601337758686,true,true
383,piazza,6,161,0.035285667813225494,true,true
384,ebbene,6,160,0.061229581840096373,true,true
385,fine,4,160,0.016640771602019482,true,true
386,venne,5,160,0.014462307522424833,true,true
387,almeno,6,159,0.012813336998346428,true,true
388,cane,4,159,0.057890017570055262,true,true
389,pur,3,159,0.0155055872125987,true,true
390,sui,3,159,0.02901492029326054,true,true
391,padrone,7,158,0.017854490355828374,true,true
392,fossero,7,157,0.0097447084265656278,true,true
393,piccolo,7,157,0.021943851196780932,true,true
394,posto,5,157,0.014887423284513342,true,true
395,braccia,7,156,0.0066342567089932476,true,true
396,morte,5,155,0.022338868740164795,true,true
397,nuova,5,155,0.0092826605188461534,true,true
398,posso,5,155,0.013727657227585701,true,true
399,sull,4,155,0.015472822242367868,true,true
400,sole,4,154,0.028494596696673997,true,true
401,spalle,6,154,0.01060425084400341,true,true
402,tanti,5,153,0.022014446207140381,true,true
403,gridò,6,152,0.05034737632384928,true,true
404,sapere,6,152,0.01308713793422743,true,true
405,soltanto,8,152,0.02138764256283452,true,true
406,alcuni,6,151,0.0087359951898679494,true,true
407,occhio,6,151,0.011097401351406876,true,true
408,pezzo,5,151,0.017526086707977773,true,true
409,topler,6,151,0.099086205452218662,true,true
410,vuol,4,151,0.011636731270174696,true,true
411,ce,2,150,0.013440134140851328,true,true
412,molti,5,150,0.0087672469939805431,true,true
413,nostro,6,150,0.015203221904558289,true,true
414,potesse,7,150,0.01578996913486664,true,true
415,riprese,7,150,0.012245098262113265,true,true
416,idea,4,149,0.027436650033005001,true,true
417,secondo,7,149,0.011902339848688947,true,true
418,passo,5,148,0.011944104150302975,true,true
419,coi,3,147,0.03014207916159593,true,true
420,avrei,5,146,0.043626895550194507,true,true
421,fronte,6,146,0.01838995347519853,true,true
422,pensare,7,146,0.0071937098400314927,true,true
423,storia,6,146,0.016643127190405442,true,true
424,piccola,7,145,0.017727418425153792,true,true
425,sentiva,7,145,0.024769582020524233,true,true
426,tal,3,145,0.013651144758093805,true,true
